week planLo planMid planHi paceLo paceMid paceHi
0 0 0 0 0 0 0
1 0.3 0.62 1.29 0.11 0.23 0.5
2 0.6 1.22 2.54 0.22 0.45 0.99
3 0.88 1.81 3.75 0.32 0.67 1.46
4 1.16 2.37 4.92 0.42 0.87 1.92
5 1.42 2.92 6.06 0.52 1.08 2.36
6 1.68 3.45 7.16 0.61 1.27 2.79
7 1.94 3.96 8.23 0.7 1.46 3.21
8 2.18 4.46 9.26 0.79 1.65 3.61
9 2.41 4.95 10.26 0.87 1.83 4
10 2.64 5.41 11.24 0.96 2 4.38
11 2.86 5.87 12.18 1.04 2.17 4.75
12 3.08 6.31 13.09 1.12 2.33 5.1
13 3.29 6.73 13.98 1.19 2.49 5.45
14 3.49 7.15 14.83 1.26 2.64 5.78
15 3.69 7.55 15.67 1.33 2.79 6.11
16 3.88 7.94 16.47 1.4 2.93 6.42
