week Chest Back Quads Biceps Calves
1 35.7 35.43 42.07 28.33 26.73
2 58.33 58.12 65.64 48.75 46.67
3 72.71 72.88 79.95 63.11 61.2
4 72.69 72.66 80.2 62.57 61.84
5 72.52 72.26 80.41 62.03 62.45
6 72.84 72.74 80.37 61.71 62.38
7 72.17 73.16 80.3 62.12 62.2
8 72.21 72.9 80.56 62.01 61.43
9 72.21 72.31 80.74 61.89 61.6
10 72.33 71.52 80.29 61.73 61.58
11 72.43 71.83 80.18 61.26 62.43
12 72.74 71.41 80.34 61.3 62.09
13 73.44 72.27 80.8 61.27 62.04
14 73.27 72.61 80.86 61.84 61.53
15 72.71 73.08 80.71 61.52 61.9
16 72.05 72.41 80.44 61.51 61.39
17 71.77 72.63 80.4 61.42 60.77
18 71.58 72.32 80.25 61.88 60.78
19 71.4 72.43 80.24 61.81 61.27
20 71.27 72.34 80.13 62.17 61.2
21 71.84 72.6 80.04 62.03 61.65
22 72.29 73.15 80.19 61.82 62.05
23 72.64 72.82 80.24 61.75 62.76
24 72.54 72.68 80.5 61.58 62.28
