week fbLo fbMid fbHi ulLo ulMid ulHi pplLo pplMid pplHi
0 0 0 0 0 0 0 0 0 0
1 0.25 0.5 1.04 0.26 0.54 1.12 0.31 0.63 1.31
2 0.48 0.99 2.06 0.52 1.06 2.2 0.61 1.24 2.58
3 0.71 1.46 3.04 0.76 1.56 3.24 0.9 1.84 3.81
4 0.94 1.92 3.99 1 2.05 4.26 1.18 2.41 5
5 1.16 2.37 4.91 1.23 2.53 5.24 1.45 2.97 6.16
6 1.37 2.8 5.8 1.46 2.99 6.2 1.71 3.51 7.28
7 1.57 3.21 6.67 1.68 3.43 7.12 1.97 4.03 8.37
8 1.77 3.62 7.51 1.89 3.86 8.02 2.22 4.54 9.42
9 1.96 4.01 8.32 2.09 4.28 8.89 2.46 5.03 10.44
10 2.14 4.39 9.11 2.29 4.69 9.73 2.69 5.51 11.43
11 2.32 4.76 9.87 2.48 5.08 10.55 2.91 5.97 12.39
12 2.5 5.12 10.62 2.67 5.46 11.34 3.13 6.42 13.32
13 2.67 5.46 11.33 2.85 5.83 12.1 3.34 6.85 14.22
14 2.83 5.8 12.03 3.02 6.19 12.85 3.55 7.27 15.09
15 2.99 6.12 12.7 3.19 6.54 13.57 3.75 7.68 15.94
16 3.14 6.44 13.36 3.36 6.87 14.26 3.94 8.07 16.76
17 3.29 6.74 13.99 3.51 7.2 14.94 4.13 8.46 17.55
18 3.44 7.04 14.6 3.67 7.52 15.6 4.31 8.83 18.32
19 3.58 7.32 15.2 3.82 7.82 16.23 4.49 9.19 19.07
20 3.71 7.6 15.78 3.96 8.12 16.85 4.66 9.54 19.79
21 3.84 7.87 16.33 4.1 8.41 17.45 4.82 9.87 20.49
22 3.97 8.13 16.88 4.24 8.69 18.02 4.98 10.2 21.17
23 4.09 8.39 17.4 4.37 8.96 18.58 5.14 10.52 21.83
24 4.21 8.63 17.91 4.5 9.22 19.13 5.29 10.83 22.47
