week FullBody UpperLower PPL
1 29.25 32.59 42.96
2 49.32 54.29 67.45
3 63.45 68.83 81.22
4 63.23 68.87 81.15
5 63.29 68.77 80.92
6 63.26 68.81 80.69
7 63.41 68.74 80.55
8 63.33 68.56 80.62
9 63.28 68.46 80.78
10 63.25 68.2 81
11 63.21 68.29 80.95
12 63.31 68.23 80.82
13 63.36 68.62 80.72
14 63.47 68.74 80.74
15 63.36 68.84 80.91
16 63.41 68.48 80.99
17 63.28 68.36 81.1
18 63.33 68.27 81.08
19 63.38 68.31 81.07
20 63.43 68.26 81.07
21 63.34 68.42 81.19
22 63.06 68.59 81.22
23 63.01 68.76 81.14
24 63.03 68.66 81.03
