week progLo progMid progHi flatLo flatMid flatHi irrLo irrMid irrHi lossLo lossMid lossHi
0 0 0 0 0 0 0 0 0 0 0 0 0
1 0.3 0.62 1.29 0.14 0.3 0.65 0.1 0.22 0.48 -0.19 -0.1 -0.05
2 0.6 1.22 2.54 0.28 0.58 1.28 0.2 0.43 0.94 -0.39 -0.19 -0.1
3 0.88 1.81 3.75 0.41 0.86 1.89 0.3 0.63 1.39 -0.58 -0.29 -0.14
4 1.16 2.37 4.92 0.54 1.13 2.48 0.4 0.83 1.82 -0.77 -0.38 -0.19
5 1.42 2.92 6.06 0.67 1.39 3.05 0.49 1.02 2.24 -0.97 -0.48 -0.24
6 1.68 3.45 7.16 0.79 1.64 3.61 0.58 1.21 2.65 -1.16 -0.58 -0.29
7 1.94 3.96 8.23 0.91 1.89 4.14 0.66 1.39 3.04 -1.35 -0.67 -0.33
8 2.18 4.46 9.26 1.02 2.13 4.66 0.75 1.56 3.42 -1.55 -0.77 -0.38
9 2.41 4.95 10.26 1.13 2.36 5.17 0.83 1.73 3.8 -1.74 -0.87 -0.43
10 2.64 5.41 11.24 1.24 2.58 5.66 0.91 1.9 4.16 -1.93 -0.96 -0.48
11 2.86 5.87 12.18 1.34 2.8 6.13 0.98 2.05 4.5 -2.13 -1.06 -0.53
12 3.08 6.31 13.09 1.44 3.01 6.59 1.06 2.21 4.84 -2.32 -1.15 -0.57
13 3.29 6.73 13.98 1.54 3.21 7.04 1.13 2.36 5.17 -2.51 -1.25 -0.62
14 3.49 7.15 14.83 1.63 3.41 7.47 1.2 2.5 5.49 -2.7 -1.35 -0.67
15 3.69 7.55 15.67 1.72 3.6 7.89 1.27 2.64 5.79 -2.9 -1.44 -0.72
16 3.88 7.94 16.47 1.81 3.78 8.3 1.33 2.78 6.09 -3.09 -1.54 -0.77
17 4.06 8.31 17.25 1.9 3.96 8.69 1.39 2.91 6.38 -3.28 -1.64 -0.81
18 4.24 8.68 18.01 1.98 4.14 9.07 1.46 3.04 6.66 -3.48 -1.73 -0.86
19 4.41 9.03 18.74 2.06 4.31 9.44 1.51 3.16 6.93 -3.67 -1.83 -0.91
20 4.58 9.38 19.46 2.14 4.47 9.8 1.57 3.28 7.19 -3.86 -1.92 -0.96
21 4.74 9.71 20.14 2.22 4.63 10.15 1.63 3.4 7.45 -4.06 -2.02 -1
22 4.9 10.03 20.81 2.29 4.78 10.48 1.68 3.51 7.7 -4.25 -2.12 -1.05
23 5.05 10.34 21.46 2.36 4.93 10.81 1.73 3.62 7.94 -4.44 -2.21 -1.1
24 5.2 10.64 22.09 2.43 5.08 11.13 1.78 3.73 8.17 -4.64 -2.31 -1.15
