week novLo novMid novHi intLo intMid intHi advLo advMid advHi
0 0 0 0 0 0 0 0 0 0
1 0.3 0.62 1.29 0.17 0.34 0.72 0.09 0.19 0.4
2 0.6 1.22 2.54 0.33 0.68 1.41 0.19 0.38 0.79
3 0.88 1.81 3.75 0.49 1 2.08 0.27 0.56 1.17
4 1.16 2.37 4.92 0.64 1.32 2.73 0.36 0.74 1.53
5 1.42 2.92 6.06 0.79 1.62 3.36 0.44 0.91 1.88
6 1.68 3.45 7.16 0.94 1.92 3.98 0.52 1.07 2.23
7 1.94 3.96 8.23 1.08 2.2 4.57 0.6 1.23 2.56
8 2.18 4.46 9.26 1.21 2.48 5.14 0.68 1.39 2.88
9 2.41 4.95 10.26 1.34 2.75 5.7 0.75 1.54 3.19
10 2.64 5.41 11.24 1.47 3.01 6.24 0.82 1.68 3.5
11 2.86 5.87 12.18 1.59 3.26 6.77 0.89 1.83 3.79
12 3.08 6.31 13.09 1.71 3.5 7.27 0.96 1.96 4.07
13 3.29 6.73 13.98 1.83 3.74 7.76 1.02 2.1 4.35
14 3.49 7.15 14.83 1.94 3.97 8.24 1.09 2.22 4.62
15 3.69 7.55 15.67 2.05 4.19 8.7 1.15 2.35 4.87
16 3.88 7.94 16.47 2.15 4.41 9.15 1.21 2.47 5.12
17 4.06 8.31 17.25 2.25 4.62 9.58 1.26 2.59 5.37
18 4.24 8.68 18.01 2.35 4.82 10.01 1.32 2.7 5.6
19 4.41 9.03 18.74 2.45 5.02 10.41 1.37 2.81 5.83
20 4.58 9.38 19.46 2.54 5.21 10.81 1.42 2.92 6.05
21 4.74 9.71 20.14 2.63 5.39 11.19 1.47 3.02 6.27
22 4.9 10.03 20.81 2.72 5.57 11.56 1.52 3.12 6.48
23 5.05 10.34 21.46 2.8 5.75 11.92 1.57 3.22 6.68
24 5.2 10.64 22.09 2.89 5.91 12.27 1.62 3.31 6.87
