week regLo regMid regHi irrLo irrMid irrHi
1 32.06 32.39 32.63 8.4 17.83 32.13
2 53.71 54.03 54.29 17.85 34.35 48.48
3 68.41 68.6 68.81 32.15 45.82 57.79
4 68.39 68.62 68.79 32.18 44.57 54.33
5 68.4 68.6 68.88 32.13 44.28 54.19
6 68.37 68.58 68.86 32.39 44.51 54.03
7 68.37 68.62 68.82 32.61 44.4 57.27
8 68.42 68.57 68.81 37 44.56 57.56
9 68.37 68.62 68.81 34.63 48.34 57.65
10 68.39 68.59 68.84 32.21 48.64 57.76
11 68.34 68.6 68.79 32.38 48.81 57.6
12 68.37 68.6 68.85 32.56 44.42 54.17
13 68.34 68.56 68.84 34.34 44.58 54.1
14 68.42 68.6 68.76 32.18 44.53 54.22
15 68.39 68.58 68.79 32.44 44.62 54.32
16 68.38 68.63 68.85 32.25 44.58 54.28
17 68.36 68.65 68.86 30.32 44.64 57.55
18 68.34 68.64 68.87 30.28 44.4 57.83
19 68.38 68.61 68.84 32.32 48.7 57.5
20 68.33 68.58 68.85 36.95 48.3 57.84
21 68.3 68.52 68.77 30.12 44.42 57.23
22 68.34 68.56 68.74 32.03 44.33 57.62
23 68.4 68.6 68.72 32.4 44.1 57.19
24 68.34 68.62 68.79 32.44 48.87 57.79
